term,all_text,labels,valid_until,country_codes,countries,node_id,sourceID,address,name,jurisdiction_description,service_provider,jurisdiction,closed_date,incorporation_date,ibcRUC,type,status,company_type,note,filename,inactivation_date,struck_off_date,all_text_low
97246,NA_The Panama Papers data is current through 2015_HKG_Hong Kong_10198874_Panama Papers_NA_UP.COM LTD._British Virgin Islands_Mossack Fonseca_BVI_NA_17-JUL-2000_397246_NA_Active_NA_NA,,The Panama Papers data is current through 2015,HKG,Hong Kong,10198874,Panama Papers,,UP.COM LTD.,British Virgin Islands,Mossack Fonseca,BVI,,17-Jul-00,397246,,Active,,,offshoreleaks-data-packages/raw-data/csv_panama_papers.2018-02-14/panama_papers.nodes.entity.csv,,,na_the panama papers data is current through 2015_hkg_hong kong_10198874_panama papers_na_up.com ltd._british virgin islands_mossack fonseca_bvi_na_17-jul-2000_397246_na_active_na_na
97246,NA_The Panama Papers data is current through 2015_THA_Thailand_12097246_Panama Papers_NA_hung Kai So_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA,,The Panama Papers data is current through 2015,THA,Thailand,12097246,Panama Papers,,hung Kai So,,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_panama_papers.2018-02-14/panama_papers.nodes.officer.csv,,,na_the panama papers data is current through 2015_tha_thailand_12097246_panama papers_na_hung kai so_na_na_na_na_na_na_na_na_na_na
97246,NA_The Panama Papers data is current through 2015_MLT_Malta_12197246_Panama Papers_NA_AURELIO VANDELLI_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA,,The Panama Papers data is current through 2015,MLT,Malta,12197246,Panama Papers,,AURELIO VANDELLI,,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_panama_papers.2018-02-14/panama_papers.nodes.officer.csv,,,na_the panama papers data is current through 2015_mlt_malta_12197246_panama papers_na_aurelio vandelli_na_na_na_na_na_na_na_na_na_na
97246,"NA_Malta corporate registry data is current through 2016_NA_NA_58097246_Paradise Papers - Malta corporate registry_OFFICE 4, LEVEL 4, QUANTUM HOUSE, 75, ABATE RIGORD STREET, TA' XBIEXXBX 1120, MALTA_OFFICE 4, LEVEL 4, QUANTUM HOUSE, 75, ABATE RIGORD STREET, TA' XBIEXXBX 1120, MALTA_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,Malta corporate registry data is current through 2016,,,58097246,Paradise Papers - Malta corporate registry,"OFFICE 4, LEVEL 4, QUANTUM HOUSE, 75, ABATE RIGORD STREET, TA' XBIEXXBX 1120, MALTA","OFFICE 4, LEVEL 4, QUANTUM HOUSE, 75, ABATE RIGORD STREET, TA' XBIEXXBX 1120, MALTA",,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.address.csv,,,"na_malta corporate registry data is current through 2016_na_na_58097246_paradise papers - malta corporate registry_office 4, level 4, quantum house, 75, abate rigord street, ta' xbiexxbx 1120, malta_office 4, level 4, quantum house, 75, abate rigord street, ta' xbiexxbx 1120, malta_na_na_na_na_na_na_na_na_na_na"
97246,NA_Barbados corporate registry data is current through 2016_NA_NA_110097246_Paradise Papers - Barbados corporate registry_NA_OBERG SVEN_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA,,Barbados corporate registry data is current through 2016,,,110097246,Paradise Papers - Barbados corporate registry,,OBERG SVEN,,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.officer.csv,,,na_barbados corporate registry data is current through 2016_na_na_110097246_paradise papers - barbados corporate registry_na_oberg sven_na_na_na_na_na_na_na_na_na_na
97246,NA_Malta corporate registry data is current through 2016_SWE;PRT_Sweden;Portugal_56097246_Paradise Papers - Malta corporate registry_NA_CARLOS CESAR VAZ PONTES CAMBRA_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA,,Malta corporate registry data is current through 2016,SWE;PRT,Sweden;Portugal,56097246,Paradise Papers - Malta corporate registry,,CARLOS CESAR VAZ PONTES CAMBRA,,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.officer.csv,,,na_malta corporate registry data is current through 2016_swe;prt_sweden;portugal_56097246_paradise papers - malta corporate registry_na_carlos cesar vaz pontes cambra_na_na_na_na_na_na_na_na_na_na
eibelstadt,NA_The Panama Papers  data is current through 2015_DEU_Germany_14048306_Panama Papers_Lerchenberg 1; 97246; Eibelstadt; Germany._NA_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA,,The Panama Papers  data is current through 2015,DEU,Germany,14048306,Panama Papers,Lerchenberg 1; 97246; Eibelstadt; Germany.,,,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_panama_papers.2018-02-14/panama_papers.nodes.address.csv,,,na_the panama papers  data is current through 2015_deu_germany_14048306_panama papers_lerchenberg 1; 97246; eibelstadt; germany._na_na_na_na_na_na_na_na_na_na_na
kingston express technology ltd,NA_The Panama Papers data is current through 2015_HKG_Hong Kong_10140592_Panama Papers_NA_KINGSTON EXPRESS TECHNOLOGY LTD._British Virgin Islands_Mossack Fonseca_BVI_NA_08-MAR-2011_NA_NA_Defaulted_NA_NA,,The Panama Papers data is current through 2015,HKG,Hong Kong,10140592,Panama Papers,,KINGSTON EXPRESS TECHNOLOGY LTD.,British Virgin Islands,Mossack Fonseca,BVI,,8-Mar-11,,,Defaulted,,,offshoreleaks-data-packages/raw-data/csv_panama_papers.2018-02-14/panama_papers.nodes.entity.csv,1-Nov-13,31-Oct-13,na_the panama papers data is current through 2015_hkg_hong kong_10140592_panama papers_na_kingston express technology ltd._british virgin islands_mossack fonseca_bvi_na_08-mar-2011_na_na_defaulted_na_na
goetzenberg 13,"NA_The Offshore Leaks data is current through 2010_DEU_Germany_268636_Offshore Leaks_Goetzenberg 13, 97877 Wertheim Germany_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,The Offshore Leaks data is current through 2010,DEU,Germany,268636,Offshore Leaks,"Goetzenberg 13, 97877 Wertheim Germany",,,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_offshore_leaks.2018-02-14/offshore_leaks.nodes.address.csv,,,"na_the offshore leaks data is current through 2010_deu_germany_268636_offshore leaks_goetzenberg 13, 97877 wertheim germany_na_na_na_na_na_na_na_na_na_na_na"
g.+tzenberg 13,"NA_The Offshore Leaks data is current through 2010_DEU_Germany_268636_Offshore Leaks_Goetzenberg 13, 97877 Wertheim Germany_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,The Offshore Leaks data is current through 2010,DEU,Germany,268636,Offshore Leaks,"Goetzenberg 13, 97877 Wertheim Germany",,,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_offshore_leaks.2018-02-14/offshore_leaks.nodes.address.csv,,,"na_the offshore leaks data is current through 2010_deu_germany_268636_offshore leaks_goetzenberg 13, 97877 wertheim germany_na_na_na_na_na_na_na_na_na_na_na"
97877 wertheim germany,"NA_The Offshore Leaks data is current through 2010_DEU_Germany_268636_Offshore Leaks_Goetzenberg 13, 97877 Wertheim Germany_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,The Offshore Leaks data is current through 2010,DEU,Germany,268636,Offshore Leaks,"Goetzenberg 13, 97877 Wertheim Germany",,,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_offshore_leaks.2018-02-14/offshore_leaks.nodes.address.csv,,,"na_the offshore leaks data is current through 2010_deu_germany_268636_offshore leaks_goetzenberg 13, 97877 wertheim germany_na_na_na_na_na_na_na_na_na_na_na"
97877,"[""Entity""]_The Bahamas Leaks data is current through early 2016._NA_NA_20097877_Bahamas Leaks_NA_PAULISTA DE ENERGIA COMPANY LIMITED_Bahamas_NA_BAH_NA_26-OCT-1999_97877B_NA_NA_NA_NA","[""Entity""]",The Bahamas Leaks data is current through early 2016.,,,20097877,Bahamas Leaks,,PAULISTA DE ENERGIA COMPANY LIMITED,Bahamas,,BAH,,26-Oct-99,97877B,,,,,offshoreleaks-data-packages/raw-data/csv_bahamas_leaks.2017-12-19/bahamas_leaks.nodes.entity.csv,,,"[""entity""]_the bahamas leaks data is current through early 2016._na_na_20097877_bahamas leaks_na_paulista de energia company limited_bahamas_na_bah_na_26-oct-1999_97877b_na_na_na_na"
97877,"NA_The Offshore Leaks data is current through 2010_DEU_Germany_268636_Offshore Leaks_Goetzenberg 13, 97877 Wertheim Germany_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,The Offshore Leaks data is current through 2010,DEU,Germany,268636,Offshore Leaks,"Goetzenberg 13, 97877 Wertheim Germany",,,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_offshore_leaks.2018-02-14/offshore_leaks.nodes.address.csv,,,"na_the offshore leaks data is current through 2010_deu_germany_268636_offshore leaks_goetzenberg 13, 97877 wertheim germany_na_na_na_na_na_na_na_na_na_na_na"
97877,NA_The Offshore Leaks data is current through 2010_VGB;HKG_British Virgin Islands;Hong Kong_197877_Offshore Leaks_NA_VIC INTERNATIONAL COMMERCIAL LIMITED_Undetermined_Commonwealth Trust Limited_XXX_NA_28-MAR-2006_1018276_NA_Active_Business Company Limited by Shares_NA,,The Offshore Leaks data is current through 2010,VGB;HKG,British Virgin Islands;Hong Kong,197877,Offshore Leaks,,VIC INTERNATIONAL COMMERCIAL LIMITED,Undetermined,Commonwealth Trust Limited,XXX,,28-Mar-06,1018276,,Active,Business Company Limited by Shares,,offshoreleaks-data-packages/raw-data/csv_offshore_leaks.2018-02-14/offshore_leaks.nodes.entity.csv,,,na_the offshore leaks data is current through 2010_vgb;hkg_british virgin islands;hong kong_197877_offshore leaks_na_vic international commercial limited_undetermined_commonwealth trust limited_xxx_na_28-mar-2006_1018276_na_active_business company limited by shares_na
97877,NA_The Offshore Leaks data is current through 2010_RUS;VGB_Russia;British Virgin Islands_204621_Offshore Leaks_NA_LINTER CORPORATION_Undetermined_Commonwealth Trust Limited_XXX_NA_12-APR-2007_1397877_NA_Active_Business Company Limited by Shares_NA,,The Offshore Leaks data is current through 2010,RUS;VGB,Russia;British Virgin Islands,204621,Offshore Leaks,,LINTER CORPORATION,Undetermined,Commonwealth Trust Limited,XXX,,12-Apr-07,1397877,,Active,Business Company Limited by Shares,,offshoreleaks-data-packages/raw-data/csv_offshore_leaks.2018-02-14/offshore_leaks.nodes.entity.csv,,,na_the offshore leaks data is current through 2010_rus;vgb_russia;british virgin islands_204621_offshore leaks_na_linter corporation_undetermined_commonwealth trust limited_xxx_na_12-apr-2007_1397877_na_active_business company limited by shares_na
97877,NA_The Offshore Leaks data is current through 2010_VGB_British Virgin Islands_297877_Offshore Leaks_NA_Nigel Greenwood_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA,,The Offshore Leaks data is current through 2010,VGB,British Virgin Islands,297877,Offshore Leaks,,Nigel Greenwood,,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_offshore_leaks.2018-02-14/offshore_leaks.nodes.intermediary.csv,,,na_the offshore leaks data is current through 2010_vgb_british virgin islands_297877_offshore leaks_na_nigel greenwood_na_na_na_na_na_na_na_na_na_na
97877,NA_The Offshore Leaks data is current through 2010_CHN_China_97877_Offshore Leaks_NA_HU YU WEI_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA,,The Offshore Leaks data is current through 2010,CHN,China,97877,Offshore Leaks,,HU YU WEI,,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_offshore_leaks.2018-02-14/offshore_leaks.nodes.officer.csv,,,na_the offshore leaks data is current through 2010_chn_china_97877_offshore leaks_na_hu yu wei_na_na_na_na_na_na_na_na_na_na
97877,"NA_The Panama Papers  data is current through 2015_BHS_Bahamas_14097877_Panama Papers_HENLEY & PARTNERS SINGAPORE PTE. LTD. SUITE E-2 UNION COURT BUILDING ELIZABETH AVENUE AND SHIRLEY STREET  NASSAU, BAHAMAS_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,The Panama Papers  data is current through 2015,BHS,Bahamas,14097877,Panama Papers,"HENLEY & PARTNERS SINGAPORE PTE. LTD. SUITE E-2 UNION COURT BUILDING ELIZABETH AVENUE AND SHIRLEY STREET  NASSAU, BAHAMAS",,,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_panama_papers.2018-02-14/panama_papers.nodes.address.csv,,,"na_the panama papers  data is current through 2015_bhs_bahamas_14097877_panama papers_henley & partners singapore pte. ltd. suite e-2 union court building elizabeth avenue and shirley street  nassau, bahamas_na_na_na_na_na_na_na_na_na_na_na"
97877,NA_The Panama Papers data is current through 2015_CHE_Switzerland_10097877_Panama Papers_NA_LEESWAY LIMITED_British Virgin Islands_Mossack Fonseca_BVI_NA_08-AUG-2003_555693_NA_Active_NA_NA,,The Panama Papers data is current through 2015,CHE,Switzerland,10097877,Panama Papers,,LEESWAY LIMITED,British Virgin Islands,Mossack Fonseca,BVI,,8-Aug-03,555693,,Active,,,offshoreleaks-data-packages/raw-data/csv_panama_papers.2018-02-14/panama_papers.nodes.entity.csv,,,na_the panama papers data is current through 2015_che_switzerland_10097877_panama papers_na_leesway limited_british virgin islands_mossack fonseca_bvi_na_08-aug-2003_555693_na_active_na_na
97877,NA_The Panama Papers data is current through 2015_USA_United States_10112773_Panama Papers_NA_JEWELS OF NEWPORT LTD._British Virgin Islands_Mossack Fonseca_BVI_NA_21-MAY-2004_597877_NA_Active_NA_NA,,The Panama Papers data is current through 2015,USA,United States,10112773,Panama Papers,,JEWELS OF NEWPORT LTD.,British Virgin Islands,Mossack Fonseca,BVI,,21-May-04,597877,,Active,,,offshoreleaks-data-packages/raw-data/csv_panama_papers.2018-02-14/panama_papers.nodes.entity.csv,,,na_the panama papers data is current through 2015_usa_united states_10112773_panama papers_na_jewels of newport ltd._british virgin islands_mossack fonseca_bvi_na_21-may-2004_597877_na_active_na_na
97877,NA_The Panama Papers data is current through 2015_IMN_Isle of Man_10197877_Panama Papers_NA_TOTAL PERFORMANCE COMPUTING LIMITED_British Virgin Islands_Mossack Fonseca_BVI_NA_19-JUL-1999_NA_NA_Defaulted_NA_NA,,The Panama Papers data is current through 2015,IMN,Isle of Man,10197877,Panama Papers,,TOTAL PERFORMANCE COMPUTING LIMITED,British Virgin Islands,Mossack Fonseca,BVI,,19-Jul-99,,,Defaulted,,,offshoreleaks-data-packages/raw-data/csv_panama_papers.2018-02-14/panama_papers.nodes.entity.csv,29-Jun-00,30-Apr-01,na_the panama papers data is current through 2015_imn_isle of man_10197877_panama papers_na_total performance computing limited_british virgin islands_mossack fonseca_bvi_na_19-jul-1999_na_na_defaulted_na_na
97877,NA_The Panama Papers data is current through 2015_GBR_United Kingdom_12097877_Panama Papers_NA_Kevin Manley_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA,,The Panama Papers data is current through 2015,GBR,United Kingdom,12097877,Panama Papers,,Kevin Manley,,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_panama_papers.2018-02-14/panama_papers.nodes.officer.csv,,,na_the panama papers data is current through 2015_gbr_united kingdom_12097877_panama papers_na_kevin manley_na_na_na_na_na_na_na_na_na_na
97877,NA_The Panama Papers data is current through 2015_BHS_Bahamas_12197877_Panama Papers_NA_PRATO INVESTMENTS LIMITED_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA,,The Panama Papers data is current through 2015,BHS,Bahamas,12197877,Panama Papers,,PRATO INVESTMENTS LIMITED,,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_panama_papers.2018-02-14/panama_papers.nodes.officer.csv,,,na_the panama papers data is current through 2015_bhs_bahamas_12197877_panama papers_na_prato investments limited_na_na_na_na_na_na_na_na_na_na
97877,"NA_Malta corporate registry data is current through 2016_NA_NA_58097877_Paradise Papers - Malta corporate registry_PRINCESS CASINO, FLAT 7 RITMAR COURT, TRIQ ANNANIJA ST. PAUL'S BAY_PRINCESS CASINO, FLAT 7 RITMAR COURT, TRIQ ANNANIJA ST. PAUL'S BAY_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,Malta corporate registry data is current through 2016,,,58097877,Paradise Papers - Malta corporate registry,"PRINCESS CASINO, FLAT 7 RITMAR COURT, TRIQ ANNANIJA ST. PAUL'S BAY","PRINCESS CASINO, FLAT 7 RITMAR COURT, TRIQ ANNANIJA ST. PAUL'S BAY",,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.address.csv,,,"na_malta corporate registry data is current through 2016_na_na_58097877_paradise papers - malta corporate registry_princess casino, flat 7 ritmar court, triq annanija st. paul's bay_princess casino, flat 7 ritmar court, triq annanija st. paul's bay_na_na_na_na_na_na_na_na_na_na"
97877,NA_Barbados corporate registry data is current through 2016_NA_NA_110097877_Paradise Papers - Barbados corporate registry_NA_VITORIA STEPHEN R_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA,,Barbados corporate registry data is current through 2016,,,110097877,Paradise Papers - Barbados corporate registry,,VITORIA STEPHEN R,,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.officer.csv,,,na_barbados corporate registry data is current through 2016_na_na_110097877_paradise papers - barbados corporate registry_na_vitoria stephen r_na_na_na_na_na_na_na_na_na_na
97877,NA_Malta corporate registry data is current through 2016_DEU_Germany_56097877_Paradise Papers - Malta corporate registry_NA_JOHANNES POETHEN_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA,,Malta corporate registry data is current through 2016,DEU,Germany,56097877,Paradise Papers - Malta corporate registry,,JOHANNES POETHEN,,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.officer.csv,,,na_malta corporate registry data is current through 2016_deu_germany_56097877_paradise papers - malta corporate registry_na_johannes poethen_na_na_na_na_na_na_na_na_na_na
silver rainbow services limited,NA_The Offshore Leaks data is current through 2010_WSM_Samoa_158372_Offshore Leaks_NA_SILVER RAINBOW SERVICES LIMITED_Samoa_Portcullis Trustnet_SAM_NA_09-APR-2008_37300/08_NA_Active_Standard International Company_NA,,The Offshore Leaks data is current through 2010,WSM,Samoa,158372,Offshore Leaks,,SILVER RAINBOW SERVICES LIMITED,Samoa,Portcullis Trustnet,SAM,,9-Apr-08,37300/08,,Active,Standard International Company,,offshoreleaks-data-packages/raw-data/csv_offshore_leaks.2018-02-14/offshore_leaks.nodes.entity.csv,,,na_the offshore leaks data is current through 2010_wsm_samoa_158372_offshore leaks_na_silver rainbow services limited_samoa_portcullis trustnet_sam_na_09-apr-2008_37300/08_na_active_standard international company_na
laura hsu,NA_The Offshore Leaks data is current through 2010_XXX_Not identified_182196_Offshore Leaks_NA_Laura Hsu_Undetermined_Portcullis Trustnet_XXX_NA_NA_NA_NA_NA_Client Sundry Account_This is not an offshore entity even though it was logged as such in original database ICIJ received. It isi an internal account created by the agent to record miscellaneous charges of an officer or intermediary,,The Offshore Leaks data is current through 2010,XXX,Not identified,182196,Offshore Leaks,,Laura Hsu,Undetermined,Portcullis Trustnet,XXX,,,,,,Client Sundry Account,This is not an offshore entity even though it was logged as such in original database ICIJ received. It isi an internal account created by the agent to record miscellaneous charges of an officer or intermediary,offshoreleaks-data-packages/raw-data/csv_offshore_leaks.2018-02-14/offshore_leaks.nodes.entity.csv,,,na_the offshore leaks data is current through 2010_xxx_not identified_182196_offshore leaks_na_laura hsu_undetermined_portcullis trustnet_xxx_na_na_na_na_na_client sundry account_this is not an offshore entity even though it was logged as such in original database icij received. it isi an internal account created by the agent to record miscellaneous charges of an officer or intermediary
laura hsu,NA_The Offshore Leaks data is current through 2010_TWN_Taiwan_291749_Offshore Leaks_NA_Laura Hsu_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA,,The Offshore Leaks data is current through 2010,TWN,Taiwan,291749,Offshore Leaks,,Laura Hsu,,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_offshore_leaks.2018-02-14/offshore_leaks.nodes.intermediary.csv,,,na_the offshore leaks data is current through 2010_twn_taiwan_291749_offshore leaks_na_laura hsu_na_na_na_na_na_na_na_na_na_na
trump year international,NA_The Offshore Leaks data is current through 2010_WSM_Samoa_176452_Offshore Leaks_NA_TRUMP YEAR INTERNATIONAL LIMITED_Samoa_Portcullis Trustnet_SAM_NA_15-JAN-2008_36291/08_NA_Active_Standard International Company_NA,,The Offshore Leaks data is current through 2010,WSM,Samoa,176452,Offshore Leaks,,TRUMP YEAR INTERNATIONAL LIMITED,Samoa,Portcullis Trustnet,SAM,,15-Jan-08,36291/08,,Active,Standard International Company,,offshoreleaks-data-packages/raw-data/csv_offshore_leaks.2018-02-14/offshore_leaks.nodes.entity.csv,,,na_the offshore leaks data is current through 2010_wsm_samoa_176452_offshore leaks_na_trump year international limited_samoa_portcullis trustnet_sam_na_15-jan-2008_36291/08_na_active_standard international company_na
